,Precisiones FSDD KNN,Precisiones mrmrMID KNN,Precisiones reliefF KNN,Precisiones FSDD DT,Precisiones mrmrMID DT,Precisiones reliefF DT,Precisiones FSDD NB,Precisiones mrmrMID NB,Precisiones reliefF NB,Precisiones FSDD SVM,Precisiones mrmrMID SVM,Precisiones reliefF SVM
0,0.2945,0.2205,0.2415,0.293,0.192,0.212,0.293,0.267,0.2605,0.2945,0.2715,0.2785
1,0.4465,0.4595,0.651,0.4655,0.42,0.5585,0.46399999999999997,0.47,0.5655,0.4645,0.4985,0.6485000000000001
2,0.673,0.6285000000000001,0.6935,0.619,0.5625,0.651,0.609,0.587,0.6605000000000001,0.7004999999999999,0.6475,0.7055
3,0.8895,0.6950000000000001,0.746,0.852,0.6465000000000001,0.6875,0.7865,0.6535,0.726,0.892,0.7004999999999999,0.765
4,0.897,0.6945,0.766,0.8545,0.647,0.695,0.817,0.6545000000000001,0.724,0.8945000000000001,0.7024999999999999,0.775
5,0.8975,0.758,0.7995000000000001,0.8565,0.739,0.728,0.8225,0.723,0.729,0.894,0.7615000000000001,0.825
6,0.907,0.8180000000000001,0.8485,0.8525,0.7825,0.748,0.8485,0.762,0.76,0.9025000000000001,0.8140000000000001,0.8594999999999999
7,0.907,0.8280000000000001,0.8574999999999999,0.8745,0.7855000000000001,0.7725,0.8525,0.771,0.766,0.913,0.83,0.8755
8,0.9275,0.833,0.8815,0.886,0.8029999999999999,0.7915000000000001,0.863,0.7785,0.792,0.9359999999999999,0.839,0.8935
9,0.9265000000000001,0.8285,0.891,0.883,0.8015000000000001,0.797,0.866,0.783,0.799,0.9335,0.844,0.8995
10,0.941,0.825,0.892,0.887,0.812,0.8005,0.8765000000000001,0.7905,0.815,0.9455,0.847,0.9005000000000001
11,0.9415,0.8525,0.9075,0.8815,0.844,0.8035000000000001,0.8785000000000001,0.827,0.831,0.946,0.862,0.925
12,0.939,0.862,0.9015,0.888,0.832,0.8055000000000001,0.877,0.8365,0.834,0.947,0.8665,0.922
13,0.9524999999999999,0.8594999999999999,0.8975,0.899,0.8185,0.8015000000000001,0.889,0.826,0.8254999999999999,0.9564999999999999,0.863,0.918
14,0.9424999999999999,0.861,0.9075,0.8945000000000001,0.834,0.8145,0.885,0.8254999999999999,0.8454999999999999,0.951,0.8594999999999999,0.9285000000000001
