,Precisions FSDD KNN,Precisions mrmrMID KNN,Precisions reliefF KNN,Precisions FSDD DT,Precisions mrmrMID DT,Precisions reliefF DT,Precisions FSDD NB,Precisions mrmrMID NB,Precisions reliefF NB,Precisions FSDD SVM,Precisions mrmrMID SVM,Precisions reliefF SVM
0,0.2945,0.2205,0.22799999999999998,0.293,0.192,0.2105,0.293,0.267,0.271,0.2945,0.2715,0.278
1,0.4405,0.4595,0.34650000000000003,0.4655,0.42,0.302,0.46399999999999997,0.47,0.286,0.4645,0.4985,0.3295
2,0.673,0.6285000000000001,0.3715,0.619,0.5625,0.32,0.609,0.587,0.3025,0.7004999999999999,0.6475,0.375
3,0.8895,0.6950000000000001,0.4325,0.852,0.6465000000000001,0.3855,0.7865,0.6535,0.328,0.892,0.7004999999999999,0.4255
4,0.897,0.6945,0.444,0.8545,0.647,0.381,0.817,0.6545000000000001,0.328,0.8945000000000001,0.7024999999999999,0.431
5,0.8975,0.758,0.4555,0.8565,0.739,0.404,0.8225,0.723,0.3365,0.894,0.7615000000000001,0.444
6,0.907,0.8180000000000001,0.4495,0.8525,0.7825,0.40900000000000003,0.8485,0.762,0.373,0.9025000000000001,0.8140000000000001,0.4995
7,0.907,0.8280000000000001,0.499,0.8745,0.7855000000000001,0.4385,0.8525,0.771,0.397,0.913,0.83,0.5135000000000001
8,0.9275,0.833,0.6595,0.886,0.8029999999999999,0.596,0.863,0.7785,0.545,0.9359999999999999,0.839,0.6865
9,0.9265000000000001,0.8285,0.6935,0.883,0.8015000000000001,0.6174999999999999,0.866,0.783,0.5645,0.9335,0.844,0.725
10,0.941,0.825,0.724,0.887,0.812,0.6525000000000001,0.8765000000000001,0.7905,0.5965,0.9455,0.847,0.7585
11,0.9415,0.8525,0.788,0.8815,0.844,0.685,0.8785000000000001,0.827,0.6385000000000001,0.946,0.862,0.8095
12,0.939,0.862,0.81,0.888,0.832,0.7015,0.877,0.8365,0.6575,0.947,0.8665,0.829
13,0.9524999999999999,0.8594999999999999,0.8345,0.899,0.8185,0.71,0.889,0.826,0.6845,0.9564999999999999,0.863,0.848
14,0.9424999999999999,0.861,0.853,0.8945000000000001,0.834,0.73,0.885,0.8254999999999999,0.707,0.951,0.8594999999999999,0.8654999999999999
15,0.946,0.8594999999999999,0.863,0.8965000000000001,0.834,0.7255,0.8845000000000001,0.827,0.719,0.9555,0.861,0.875
16,0.9455,0.858,0.862,0.897,0.8385,0.7284999999999999,0.888,0.8354999999999999,0.737,0.953,0.8625,0.8885000000000001
17,0.946,0.879,0.858,0.9035,0.859,0.728,0.8905000000000001,0.852,0.739,0.954,0.8975,0.884
18,0.944,0.8785000000000001,0.857,0.904,0.8674999999999999,0.727,0.892,0.858,0.7384999999999999,0.954,0.901,0.8875
19,0.9435,0.8785000000000001,0.8594999999999999,0.9005000000000001,0.862,0.7355,0.893,0.8465,0.741,0.9544999999999999,0.9015,0.895
20,0.9455,0.876,0.87,0.9,0.8574999999999999,0.7424999999999999,0.8915,0.848,0.7555000000000001,0.955,0.8975,0.906
21,0.9424999999999999,0.877,0.884,0.901,0.862,0.7675000000000001,0.893,0.853,0.781,0.9564999999999999,0.901,0.9115
22,0.942,0.876,0.8895,0.891,0.8714999999999999,0.7615000000000001,0.891,0.856,0.7825,0.957,0.899,0.911
23,0.951,0.8775,0.89,0.915,0.8665,0.764,0.906,0.8614999999999999,0.7815000000000001,0.962,0.9045000000000001,0.91
24,0.9495,0.879,0.9045000000000001,0.9045000000000001,0.8705,0.792,0.904,0.8605,0.802,0.9624999999999999,0.906,0.9315
25,0.96,0.8755,0.905,0.9265000000000001,0.872,0.7845,0.9365,0.86,0.807,0.971,0.906,0.9325000000000001
26,0.959,0.8714999999999999,0.9095,0.928,0.875,0.787,0.937,0.858,0.8115000000000001,0.9724999999999999,0.909,0.9365
27,0.961,0.876,0.9125000000000001,0.9305000000000001,0.8825000000000001,0.789,0.94,0.8614999999999999,0.82,0.9724999999999999,0.911,0.9375
28,0.9664999999999999,0.8845000000000001,0.909,0.926,0.8785000000000001,0.7885,0.946,0.8634999999999999,0.819,0.973,0.919,0.94
29,0.97,0.8865000000000001,0.9095,0.935,0.8714999999999999,0.806,0.95,0.8674999999999999,0.8385,0.9784999999999999,0.9245000000000001,0.948
30,0.97,0.885,0.9085000000000001,0.9359999999999999,0.8755,0.8049999999999999,0.955,0.8734999999999999,0.836,0.976,0.9225000000000001,0.946
31,0.972,0.889,0.91,0.9315,0.8734999999999999,0.804,0.953,0.8654999999999999,0.838,0.9775,0.923,0.943
32,0.971,0.8885000000000001,0.9085000000000001,0.9315,0.874,0.8135,0.956,0.8645,0.837,0.9784999999999999,0.9225000000000001,0.9444999999999999
33,0.972,0.89,0.909,0.9325000000000001,0.8785000000000001,0.81,0.9535,0.866,0.836,0.9775,0.9265000000000001,0.944
34,0.9664999999999999,0.889,0.919,0.932,0.8865000000000001,0.8175,0.954,0.864,0.84,0.976,0.926,0.948
35,0.966,0.8915,0.919,0.937,0.8875,0.82,0.96,0.8685,0.8385,0.9784999999999999,0.929,0.9464999999999999
36,0.9664999999999999,0.8975,0.917,0.9325000000000001,0.8925000000000001,0.8109999999999999,0.9575,0.8745,0.839,0.9784999999999999,0.93,0.946
37,0.9675,0.8985000000000001,0.9215,0.935,0.8985000000000001,0.81,0.9555,0.875,0.8525,0.9784999999999999,0.9325000000000001,0.9484999999999999
38,0.969,0.898,0.922,0.9325000000000001,0.8895,0.827,0.955,0.876,0.856,0.9775,0.933,0.9515
39,0.966,0.8975,0.935,0.931,0.891,0.799,0.953,0.8775,0.8685,0.9764999999999999,0.9325000000000001,0.955
40,0.9664999999999999,0.902,0.934,0.937,0.8935,0.8025,0.9544999999999999,0.877,0.866,0.978,0.9359999999999999,0.9535
41,0.9635,0.9035,0.931,0.933,0.9015,0.809,0.9535,0.8785000000000001,0.867,0.9775,0.937,0.9524999999999999
42,0.9644999999999999,0.9045000000000001,0.9315,0.926,0.8975,0.7985,0.958,0.875,0.863,0.977,0.9359999999999999,0.9515
43,0.9644999999999999,0.9055,0.9335,0.9355,0.9,0.805,0.957,0.8725,0.8654999999999999,0.977,0.9359999999999999,0.9544999999999999
44,0.9655,0.907,0.932,0.939,0.8975,0.7975000000000001,0.957,0.877,0.869,0.9775,0.9385,0.9564999999999999
45,0.961,0.903,0.9335,0.935,0.9005000000000001,0.805,0.957,0.8785000000000001,0.8665,0.9764999999999999,0.9395,0.954
46,0.9564999999999999,0.906,0.9355,0.9365,0.8845000000000001,0.8015000000000001,0.9544999999999999,0.878,0.8665,0.9744999999999999,0.94,0.956
47,0.956,0.9075,0.9355,0.9375,0.89,0.8045,0.9544999999999999,0.879,0.864,0.974,0.9410000000000001,0.956
48,0.956,0.915,0.9359999999999999,0.9345,0.8845000000000001,0.8025,0.956,0.8815,0.868,0.975,0.944,0.956
